label,outcome,n_unweighted,weighted_mean_or_prevalence,ci95_low,ci95_high,overall_weighted_mean_or_prevalence,lift_vs_overall,unweighted_mean_or_prevalence,display_name
-1,diabetes_any,447,0.1476924577821139,0.1147465406339268,0.1843517314116528,0.1491423112363994,0.9902787247812774,0.1789709172259508,Noise / outlier group
0,diabetes_any,2998,0.1639470500111557,0.1497260902979977,0.178029392799295,0.1491423112363994,1.099265853211098,0.1937958639092728,Lipid-prediabetes metabolic-risk tendency
1,diabetes_any,2258,0.1256843002069785,0.1108614353913104,0.1437789723111902,0.1491423112363994,0.8427139097218457,0.1607617360496014,Lower-glycemic central-adiposity tendency
2,diabetes_any,345,0.1789211842840292,0.1370566789855302,0.2264615867509218,0.1491423112363994,1.1996675041492988,0.2057971014492753,Higher blood-pressure / renal-risk tendency
-1,dyslipidemia,447,0.377192972484823,0.3242252213300164,0.432190485799254,0.5522701080338214,0.6829863992235543,0.4250559284116331,Noise / outlier group
0,dyslipidemia,2998,0.5895351745321848,0.5687843606535153,0.6117617351499932,0.5522701080338214,1.067476160589306,0.6214142761841227,Lipid-prediabetes metabolic-risk tendency
1,dyslipidemia,2258,0.5541709479179122,0.5284710524278196,0.5812042663569719,0.5522701080338214,1.0034418663194684,0.591674047829938,Lower-glycemic central-adiposity tendency
2,dyslipidemia,345,0.4297262203282956,0.3703080101423861,0.4914444563074697,0.5522701080338214,0.7781087806077291,0.4898550724637681,Higher blood-pressure / renal-risk tendency
-1,hypertension_any,447,0.4442558905505453,0.3865122987493986,0.5031820425302428,0.5062216416305458,0.87759165949443,0.5078299776286354,Noise / outlier group
0,hypertension_any,2998,0.5031185900470028,0.4814077430147389,0.524943532460135,0.5062216416305458,0.9938701720188252,0.5677118078719147,Lipid-prediabetes metabolic-risk tendency
1,hypertension_any,2258,0.5126803376020851,0.4885538415906461,0.5370576811685066,0.5062216416305458,1.0127586326628306,0.5739592559787422,Lower-glycemic central-adiposity tendency
2,hypertension_any,345,0.5725998234926377,0.5000115400305661,0.6380136010734975,0.5062216416305458,1.131124741424106,0.6347826086956522,Higher blood-pressure / renal-risk tendency
-1,metabolic_syndrome_count,447,1.053133980251489,0.9515880955122474,1.159357519544593,1.7470082934971307,0.602821397111598,1.1722595078299776,Noise / outlier group
0,metabolic_syndrome_count,2998,1.9762083295569617,1.9167823647743665,2.032416219313749,1.7470082934971307,1.1311957343951826,2.0663775850567045,Lipid-prediabetes metabolic-risk tendency
1,metabolic_syndrome_count,2258,1.6135893567476471,1.5568184895799562,1.6696354370566402,1.7470082934971307,0.9236300495847058,1.7094774136403896,Lower-glycemic central-adiposity tendency
2,metabolic_syndrome_count,345,1.4973090219216327,1.3311110594725442,1.6426253080857596,1.7470082934971307,0.8570703570756071,1.6695652173913045,Higher blood-pressure / renal-risk tendency
-1,multimorbidity_count,447,1.6069954406999285,1.4508295972361678,1.7601256803062522,1.842844155626305,0.8720191752480436,1.8187919463087248,Noise / outlier group
0,multimorbidity_count,2998,1.8906915724592808,1.8270744428089716,1.946383255736999,1.842844155626305,1.025963897536802,2.0820547031354235,Lipid-prediabetes metabolic-risk tendency
1,multimorbidity_count,2258,1.8269965342286465,1.7559761364902566,1.895685378256553,1.842844155626305,0.9914004549167788,2.0349867139061115,Lower-glycemic central-adiposity tendency
2,multimorbidity_count,345,1.8284919597014415,1.6399300352626114,2.0169446290627797,1.842844155626305,0.9922119318223162,2.084057971014493,Higher blood-pressure / renal-risk tendency
-1,obesity,447,0.3988627927698731,0.3440715913932426,0.4491572001724421,0.3980286850255047,1.002095597065611,0.4116331096196868,Noise / outlier group
0,obesity,2998,0.3947797076845946,0.373300967561268,0.4154231460317221,0.3980286850255047,0.9918373286570996,0.3989326217478319,Lipid-prediabetes metabolic-risk tendency
1,obesity,2258,0.405609875974568,0.3791979738467015,0.430258460625437,0.3980286850255047,1.0190468457030366,0.4114260407440213,Lower-glycemic central-adiposity tendency
2,obesity,345,0.3737481261256162,0.3132906388410716,0.4293110566247936,0.3980286850255047,0.938997967198438,0.4115942028985507,Higher blood-pressure / renal-risk tendency
-1,prediabetes_biomarker,447,0.1442016218633502,0.1126091207810083,0.1807282976081776,0.3703732500675911,0.3893413518309819,0.1879194630872483,Noise / outlier group
0,prediabetes_biomarker,2998,0.4989367955976228,0.4772960095387495,0.5203574705643883,0.3703732500675911,1.347118874018492,0.528685790527018,Lipid-prediabetes metabolic-risk tendency
1,prediabetes_biomarker,2258,0.2481558896585429,0.2271972381184496,0.272108275353994,0.3703732500675911,0.6700156925837809,0.270593445527015,Lower-glycemic central-adiposity tendency
2,prediabetes_biomarker,345,0.3439579057518444,0.2887831778420539,0.4020059095905451,0.3703732500675911,0.9286791248803036,0.417391304347826,Higher blood-pressure / renal-risk tendency
